Longitude,Latitude,Hotel Name
"-0,1988","51,4919", GB-Exhibition Court Hotel
"-0,16486","51,52185", GB-Harewood
"0,02623","51,51001", GB-Custom House Hotel
"-0,18829","51,5342", GB-Carlton
"0,14949","51,78119", GB-Swallow Churchgate Hotel
"-0,20302","51,48633", GB-Holiday Inn
"-0,52171","51,74607", GB-Watermill
"-0,42422","51,48062", GB-Premier Travel Inn
"-0,16482","51,18122", GB-Thistle-London Gatwick
"-0,57383","51,45083", GB-Hayley Conf Centre-Beaumont House
"0,24665","51,45229", GB-Dartford Bridge
"-0,20193","51,90308", GB-Stevenage Centre
"-0,19505","51,49403", GB-Kensington
"-0,44529","51,82878", GB-Hertfordshire
"-0,08218","51,41605", GB-Crystal Palace Tower Hotel
"-0,1858","51,50128", GB-Kensington House Hotel
"-0,10531","51,42428", GB-Norwood Hotel
"-0,17896","51,16784", GB-Holiday Inn-London Gatwick
"-0,1841","51,49077", GB-Hotel 167
"-0,17078","51,51525", GB-Delmere Hotel
"0,0051","51,54217", GB-Ibis London Stratford
"-0,15316","51,52164", GB-Parkside Hotels
"-0,21997","51,30379", GB-Premier Travel Inn
"-0,12692","51,51028", GB-St Martins Lane Hotel
"-0,12277","51,52851", GB-Park Hotel
"-0,2505","51,65624", GB-Elstree Moat House
"-0,10323","51,5357", GB-London Islington
"-0,18362","51,51312", GB-Blakemore Hotel
"-0,20139","51,24846", GB-Reigate Manor Hotel
"-0,1602","51,51609", GB-Bryanston Court
"-0,15114","51,51083", GB-Millennium London Mayfair
"-0,33303","51,50368", GB-Boston Manor Com
"-0,27616","51,60802", GB-Premier Travel Inn
"-0,16781","51,49688", GB-Egerton House
"0,26906","51,61115", GB-Brentwood M25 Jct 28
"-0,19126","51,51297", GB-Kensington Court Hotel
"-0,1535","51,50937", GB-The Grosvenor House
"-0,19726","51,52779", GB-Chippenham
"0,21195","51,8765", GB-London Stansted Airport
"-0,09351","51,50497", GB-London City South
"-0,06983","51,5164", GB-City Hotel
"-0,48593","51,8917", GB-Premier Travel Inn
"-0,23666","51,84996", GB-Bell Inn Country Hotel
"-0,17353","51,51478", GB-Westpoint Hotel
"-0,22219","51,49888", GB-Orlando Hotel
"0,23227","51,48261", GB-Purfleet
"0,02205","51,50785", GB-London - Royal Docks - Excel
"-0,14241","51,52105", GB-Grange Fitzrovia
"-0,53567","51,48819", GB-Quality Hotel Heathrow
"-0,19594","51,36214", GB-Holiday Inn
"0,23116","51,48302", GB-Premier Travel Inn
"0,15377","51,45447", GB-Bexleyheath
"-0,12135","51,5742", GB-Aber Hotel
"-0,14224","51,0058", GB-Ockenden Manor
"-0,1969","51,51127", GB-Lennox
"-0,12226","51,52943", GB-Howard Winchester Hotel
"-0,12191","51,52908", GB-Hotel Montana
"-0,19012","51,49511", GB-Country Inn & Suites Kensington
"0,16242","51,30097", GB-Donnington Manor Hotel
"-0,15785","51,49904", GB-Lowndes
"-0,12539","51,50668", GB-The Trafalgar
"0,06729","51,57691", GB-Family Hotels
"-0,15783","51,51476", GB-Leonard
"-0,15385","51,3673", GB-Dukes Head
"-0,19173","51,51422", GB-Lords
"-0,54793","51,49297", GB-Heathrow Slough Marriott Hotel
"-0,18872","51,48065", GB-La Reserve Hotel
"-0,1801","51,51236", GB-London Guards Hotel
"0,02847","51,6808", GB-Waltham Abbey
"-0,07729","51,51074", GB-Novotel London Tower Bridge
"-0,44046","51,03786", GB-Travelodge
"-0,10144","51,50602", GB-Express By Holiday Inn
"-0,14817","51,51258", GB-Claridge's
"-0,17988","51,46566", GB-Travelodge London Battersea
"-0,03288","51,83255", GB-Marriott Hanbury Manor
"-0,17933","51,51079", GB-Hyde Park
"-0,01986","51,6029", GB-London Chingford
"-0,1845","51,11122", GB-Arora-London Gatwick
"0,03886","51,50806", GB-Premier Travel Inn
"-0,15572","51,5142", GB-Savoy Court
"-0,18957","51,51356", GB-Phoenix
"-0,15014","51,51705", GB-Bentinck House Hotel
"-0,58435","51,46352", GB-Old Windsor
"-0,50107","51,99702", GB-Flitwick Manor
"-0,14693","51,50466", GB-Park Lane
"-0,17797","51,4172", GB-London - Wimbledon - South
"-0,16618","51,11691", GB-Three Bridges Lodge
"-0,16878","51,49622", GB-Franklin
"-0,17989","51,50006", GB-Gore
